round,land1,land2,dd,result,star,remark
gA,IS,FI,20250702,0-1,,
gA,CH,NO,20250702,1-2,,
gA,NO,FI,20250706,2-1,,
gA,CH,IS,20250706,2-0,,
gA,FI,CH,20250710,1-1,,
gA,NO,IS,20250710,4-3,,
gB,BE,IT,20250703,0-1,,
gB,ES,PT,20250703,5-0,,
gB,ES,BE,20250707,6-2,,
gB,PT,IT,20250707,1-1,,
gB,IT,ES,20250711,1-3,,
gB,PT,BE,20250711,1-2,,
gC,DK,SE,20250704,0-1,,
gC,DE,PL,20250704,2-0,,
gC,DE,DK,20250708,2-1,,
gC,PL,SE,20250708,0-3,,
gC,SE,DE,20250712,4-1,,
gC,PL,DK,20250712,3-2,,
gD,G3,NL,20250705,0-3,,ref=WLS_NL
gD,FR,G1,20250705,2-1,,
gD,G1,NL,20250709,4-0,,ref=ENG_NL
gD,FR,G3,20250709,4-1,,
gD,NL,FR,20250713,2-5,,ref=NL_FR
gD,G1,G3,20250713,6-1,,
4f,NO,IT,20250716,1-2,2,
4f,SE,G1,20250717,2-2,6,
4f,ES,CH,20250718,2-0,1,
4f,FR,DE,20250719,1-1,6,
2f,G1,IT,20250722,2-1,3,
2f,DE,ES,20250723,0-1,4,
f,G1,ES,20250727,1-1,5,ref=ENG_ES
