round,land1,land2,dd,result
gA,NZ,NO,20230720,1-0
gA,PH,CH,20230721,0-2
gA,NZ,PH,20230725,0-1
gA,CH,NO,20230725,0-0
gA,CH,NZ,20230730,0-0
gA,NO,PH,20230730,6-0
gB,AU,IE,20230720,1-0
gB,NG,CA,20230721,0-0
gB,CA,IE,20230726,2-1
gB,AU,NG,20230727,2-3
gB,CA,AU,20230731,0-4
gB,IE,NG,20230731,0-0
gC,ES,CR,20230721,3-0
gC,ZM,JP,20230722,0-5
gC,JP,CR,20230726,2-0
gC,ES,ZM,20230726,5-0
gC,JP,ES,20230731,4-0
gC,CR,ZM,20230731,1-3
gD,G1,HT,20230722,1-0
gD,DK,CN,20230722,1-0
gD,G1,DK,20230728,1-0
gD,CN,HT,20230728,1-0
gD,CN,G1,20230801,1-6
gD,HT,DK,20230801,0-2
gE,US,VN,20230722,3-0
gE,NL,PT,20230723,1-0
gE,US,NL,20230727,1-1
gE,PT,VN,20230727,2-0
gE,VN,NL,20230801,0-7
gE,PT,US,20230801,0-0
gF,FR,JM,20230723,0-0
gF,BR,PA,20230724,4-0
gF,FR,BR,20230729,2-1
gF,PA,JM,20230729,0-1
gG,SE,ZA,20230723,2-1
gG,IT,AR,20230724,1-0
gG,AR,ZA,20230728,2-2
gG,SE,IT,20230729,5-0
gH,DE,MA,20230724,6-0
gH,CO,KR,20230725,2-0
gH,KR,MA,20230730,0-1
gH,DE,CO,20230730,1-2
