round,land1,land2,dd,result
gNL,CZ,MT,19940906,6-1
gNL,LU,NL,19940907,0-4
gNL,NO,BY,19940907,1-0
gNL,MT,CZ,19941012,0-0
gNL,BY,LU,19941012,2-0
gNL,NO,NL,19941012,1-1
gNL,BY,NO,19941116,0-4
gNL,NL,CZ,19941116,0-0
gNL,NL,LU,19941214,5-0
gNL,MT,NO,19941214,0-1
gNL,MT,LU,19950222,0-1
gNL,NL,MT,19950329,4-0
gNL,CZ,BY,19950329,4-2
gNL,LU,NO,19950329,0-2
gNL,CZ,NL,19950426,3-1
gNL,BY,MT,19950426,1-1
gNL,NO,LU,19950426,5-0
gNL,BY,NL,19950607,1-0
gNL,LU,CZ,19950607,1-0
gNL,NO,MT,19950607,2-0
gNL,NO,CZ,19950816,1-1
gNL,NL,BY,19950906,1-0
gNL,CZ,NO,19950906,2-0
gNL,LU,MT,19950906,1-0
gNL,BY,CZ,19951007,0-2
gNL,MT,NL,19951011,0-4
gNL,LU,BY,19951011,0-0
gNL,MT,BY,19951112,0-2
gNL,CZ,LU,19951115,3-0
gNL,NL,NO,19951115,3-0
