group,land,matches,wins,draws,losses,points,goals scored,goals against,remark
s1,DK,10,6,3,1,21,16,5,+
s1,PT,10,5,4,1,19,17,5,+
s1,SE,10,5,3,2,18,13,5,
s1,HU,10,5,1,4,16,10,8,
s1,AL,10,1,4,5,7,6,13,
s1,MT,10,0,1,9,1,0,26,
s2,CH,10,6,3,1,21,18,8,+
s2,GR,10,6,2,2,20,20,10,+
s2,LV,10,5,2,3,17,18,15,
s2,IL,10,4,4,2,16,20,10,
s2,LU,10,1,2,7,5,4,25,
s2,MD,10,0,3,7,3,6,18,
s3,SK,10,7,1,2,22,22,10,+
s3,SI,10,6,2,2,20,18,4,+
s3,CZ,10,4,4,2,16,17,6,
s3,G4,10,4,3,3,15,13,9,
s3,PL,10,3,2,5,11,19,14,
s3,SM,10,0,0,10,0,1,47,
s4,DE,10,8,2,0,26,26,5,+
s4,RU,10,7,1,2,22,19,6,
s4,FI,10,5,3,2,18,14,14,
s4,G3,10,4,0,6,12,9,12,
s4,AZ,10,1,2,7,5,4,14,
s4,LI,10,0,2,8,2,2,23,
s5,ES,10,10,0,0,30,28,5,+
s5,BA,10,6,1,3,19,25,13,
s5,TR,10,4,3,3,15,13,10,
s5,BE,10,3,1,6,10,13,20,
s5,EE,10,2,2,6,8,9,24,
s5,AM,10,1,1,8,4,6,22,
s6,G1,10,9,0,1,27,34,6,+
s6,UA,10,6,3,1,21,21,6,
s6,HR,10,6,2,2,20,19,13,
s6,BY,10,4,1,5,13,19,14,
s6,KZ,10,2,0,8,6,11,29,
s6,AD,10,0,0,10,0,3,39,
s7,RS,10,7,1,2,22,22,8,+
s7,FR,10,6,3,1,21,18,9,+
s7,AT,10,4,2,4,14,14,15,
s7,LT,10,4,0,6,12,10,11,
s7,RO,10,3,3,4,12,12,18,
s7,FO,10,1,1,8,4,5,20,
s8,IT,10,7,3,0,24,18,7,+
s8,IE,10,4,6,0,18,12,8,
s8,BG,10,3,5,2,14,17,13,
s8,CY,10,2,3,5,9,14,16,
s8,ME,10,1,6,3,9,9,14,
s8,GE,10,0,3,7,3,7,19,
